Vertex,Label,PageRank
0,mmojadad,4.8578751164958056E-4
1,romariormr,2.075372786579683E-4
2,mhhmod,6.989748369058715E-5
3,sokveasnahang-cpu,7.010814144834171E-5
4,DavidsonGomes,7.038447435564452E-5
5,robertoborcem,9.431843490116979E-4
6,p3dr0574,7.010814144834171E-5
7,danirpa,6.989748369058715E-5
8,VoeonAI,9.434772001622278E-4
9,Goulart-SB,8.181586773680524E-5
10,shahrammahadvi,1.4122872887380433E-4
11,chagasma,6.989748369058715E-5
12,JhonesSena,6.989748369058715E-5
13,dinesh-suthar-cdp,2.50116495806151E-4
14,gilney-canaltelecom,6.989748369058715E-5
15,sussamgtads,6.989748369058715E-5
16,FelipeBernardesDev,6.989748369058715E-5
17,orfeubr,6.989748369058715E-5
18,reginaldo-machado,6.989748369058715E-5
19,hilsoney1200-dotcom,3.742398648648649E-4
20,UluanRichard,6.989748369058715E-5
21,WhiterBy1,6.989748369058715E-5
22,RoyallGuards,6.989748369058715E-5
23,Mahmoudreda66,8.178005591798696E-5
24,diegoirs23,6.989748369058715E-5
25,NRotili,2.955054461789376E-4
26,mastermailgeral,6.989748369058715E-5
27,YzKencebay,2.9319082013047534E-4
28,tectg-solution,6.989748369058715E-5
29,TiagoGouvea,3.3339332075578497E-4
30,Header9968,8.178005591798696E-5
31,Luiz-Otavio-Dorigon,1.295210025853408E-4
32,LuizEdgar,6.989748369058715E-5
33,TrolljanO,1.2931034482758624E-4
34,modopraiano,6.989748369058715E-5
35,MurilloDanielOfficial,6.989748369058715E-5
36,Darwin-IA-hub,8.617317000545645E-4
37,claudiocastelo,6.989748369058715E-5
38,kunkanon,6.989748369058715E-5
39,asfcarvalho,6.989748369058715E-5
40,studiomarcanti,6.989748369058715E-5
41,pedro-vasconcelos-dev,6.989748369058715E-5
42,braiaagency,6.090691985088535E-4
43,ti613,3.3593507300403857E-4
44,Keven-sants,6.989748369058715E-5
45,massilva,6.989748369058715E-5
46,DarkWalking,6.989748369058715E-5
47,juliancesar,6.989748369058715E-5
48,Caiohenrks,6.989748369058715E-5
49,juniorerivaldo,6.989748369058715E-5
50,thiagomishaim,6.989748369058715E-5
51,srmodid,6.989748369058715E-5
52,andersonfelipev,7.650426345492809E-4
53,FernandoBolzan,6.989748369058715E-5
54,Simplobot1,0.001340122131928799
55,Dev-Rafhael,6.989748369058715E-5
56,Guilhermesf27,6.845167486467646E-4
57,hic000,6.989748369058715E-5
58,chibancas,8.97017707362535E-5
59,eowoosh,6.989748369058715E-5
60,AdaiasMagdiel,6.989748369058715E-5
61,almirf,1.0950605778191987E-4
62,Vialc,6.989748369058715E-5
63,unwarkz,1.2824587779258366E-4
64,VitorS0uza,5.491613562540849E-4
65,nicolasbarcellos,5.590633737185461E-4
66,TetoBertolla1,6.989748369058715E-5
67,heydrick1,6.989748369058715E-5
68,JustAtrasado,6.989748369058715E-5
69,wenealves10,6.989748369058715E-5
70,danyllolobo,6.989748369058715E-5
71,queirozmat,6.989748369058715E-5
72,diegobrodr,6.989748369058715E-5
73,Buglessren,8.97017707362535E-5
74,maestropsi,6.989748369058715E-5
75,AlvaroBrasilia,6.989748369058715E-5
76,reisdiegoss,9.970739977541138E-5
77,nolramaf,7.038447435564452E-5
78,jhefersoncrescencio,6.989748369058715E-5
79,ielaineugc,9.960391425908668E-5
80,weblucianosoares-maker,2.1842963653308483E-4
81,adrianovictorn,6.989748369058715E-5
82,BrianCz-Eng,6.989748369058715E-5
83,du-medeiros,6.989748369058715E-5
84,Ben-Avrahami,0.0011382283751295572
85,Bonilhajvv,6.989748369058715E-5
86,gustauobr,6.989748369058715E-5
87,raphael0627f,6.989748369058715E-5
88,marlonvinicius,0.0011137447506035262
89,lucascampuus,7.038447435564452E-5
90,kasambr,6.989748369058715E-5
91,DanielBelorini,6.989748369058715E-5
92,cristiandigisat-hub,6.989748369058715E-5
93,GustavoCPrado,6.989748369058715E-5
94,elizeufranca,6.989748369058715E-5
95,dujobi-contato,6.989748369058715E-5
96,leonardomnds,6.989748369058715E-5
97,srvelososantos,6.989748369058715E-5
98,willDullius,6.989748369058715E-5
99,LeonardoCostaCTN,6.989748369058715E-5
100,asilvacijun,1.4911463187325258E-4
101,fafadexs1,6.989748369058715E-5
102,hlspablo,6.989748369058715E-5
103,DiegoSalvati,3.56069431500466E-4
104,plalebtag,6.989748369058715E-5
105,nadersommer,6.989748369058715E-5
106,elciogiaretta-ops,0.0011113163066493621
107,AndersonVentin,6.989748369058715E-5
108,leotramanda,6.989748369058715E-5
109,jussimirvfx,6.989748369058715E-5
110,marinaninin,6.989748369058715E-5
111,RodrigoRosalin,6.989748369058715E-5
112,FireGears,6.989748369058715E-5
113,therodmg-source,1.29724286892885E-4
114,msantosjader,7.038447435564452E-5
115,myposty,6.989748369058715E-5
116,GleisonOliveiraAds,9.479587205522612E-5
117,luiscorsog,1.4646110802728804E-4
118,noratonegocios-ship-it,2.4342030707572216E-4
119,viivaz,2.334258813748906E-4
120,AndreynBastos,6.989748369058715E-5
121,Advfboliveira,6.989748369058715E-5
122,vianahub-pt,3.6696178937558254E-4
123,C4stro,6.989748369058715E-5
124,fvieir,6.989748369058715E-5
125,GustavoMenezes33,6.989748369058715E-5
126,emanuelarcos,6.989748369058715E-5
127,RaphaAlmeida,6.989748369058715E-5
128,screamingandmore-cell,6.989748369058715E-5
129,patrick2909,3.561141750656147E-4
130,BezzerraJr,6.989748369058715E-5
131,dgonzalez211,6.989748369058715E-5
132,benjamimprofissional-web,6.989748369058715E-5
133,Eiai-Solutions,5.749068033550791E-4
134,devarsenal,6.989748369058715E-5
135,guilhermemayrinkal,6.989748369058715E-5
136,tam74k,6.989748369058715E-5
137,dsnjunior,6.989748369058715E-5
138,pelinche,6.989748369058715E-5
139,thomasjeferssonvaz,6.989748369058715E-5
140,cleberrafael,6.989748369058715E-5
141,Samukaspc,6.989748369058715E-5
142,bclickdigital,6.989748369058715E-5
143,pedrocagb,6.989748369058715E-5
144,ianmsfvenom,6.989748369058715E-5
145,OussamaToumirt,6.989748369058715E-5
146,matbn,1.2931034482758624E-4
147,leorchrds,6.989748369058715E-5
148,LeonardoT07,6.989748369058715E-5
149,vmssistemas,0.0018307239353638856
150,rcarnavalli,6.989748369058715E-5
151,NathanMotoki,6.989748369058715E-5
152,XmasterFaeu,6.989748369058715E-5
153,matheuspoppl,6.989748369058715E-5
154,josesapereira,6.989748369058715E-5
155,RenildoChavezFlujolink,6.989748369058715E-5
156,AlwaysPalaye,6.989748369058715E-5
157,luizbp,6.989748369058715E-5
158,MatheusMorais34,6.989748369058715E-5
159,Dheyvidj,6.989748369058715E-5
160,juniorxf,6.989748369058715E-5
161,marcostaira,6.989748369058715E-5
162,aibotforproject,6.989748369058715E-5
163,flavio-r,6.989748369058715E-5
164,josealissonbr,6.989748369058715E-5
165,SuKuShaing,6.989748369058715E-5
166,VictoOliv,6.989748369058715E-5
167,CZERNOB0G,6.989748369058715E-5
168,chelof100,6.989748369058715E-5
169,oziresguisa-stack,6.989748369058715E-5
170,cassiofjardim,1.2931034482758624E-4
171,anassnammal,6.989748369058715E-5
172,Alfr3d022,4.263746505125815E-4
173,Gabrielribeiroic,6.989748369058715E-5
174,GuilhermeBotingnon,6.989748369058715E-5
175,edson-martins,6.989748369058715E-5
176,rudarecordsdemo-creator,6.989748369058715E-5
177,mendoncart,6.989748369058715E-5
178,Erlonidas,6.989748369058715E-5
179,nickxs1,2.1347856477166823E-4
180,NathanMuniz,6.989748369058715E-5
181,mateusrovedaa,6.989748369058715E-5
182,Felip3Figueredo,1.7882106244175211E-4
183,amadeujunior18,6.989748369058715E-5
184,uendelcomu,6.989748369058715E-5
185,savinnsk,6.989748369058715E-5
186,ianvirtualis-sudo,6.989748369058715E-5
187,hehuanju,6.986712331047924E-4
188,kawhedorgy,6.989748369058715E-5
189,DumahBrazorf,6.989748369058715E-5
190,Davi-AMF,1.4911463187325258E-4
191,ARMCardoso,2.4937383504193854E-4
192,marcelongf,6.989748369058715E-5
193,rdelphino,6.989748369058715E-5
194,asuma312,6.989748369058715E-5
195,dkydivyansh,6.989748369058715E-5
196,oademarlima,6.989748369058715E-5
197,acacioegas,6.989748369058715E-5
198,DiegoCostantino,6.989748369058715E-5
199,thiagocalixtoo,6.989748369058715E-5
200,rodrigobeber,2.0969676645662635E-4
201,futurahaus,8.475069897483691E-5
202,EsauAlencar1,6.989748369058715E-5
203,adhubmarketing,6.989748369058715E-5
204,raffarossi,6.989748369058715E-5
205,magnum1985,3.2347292752269634E-4
206,Jeffmartt,6.989748369058715E-5
207,italotkh,6.989748369058715E-5
208,lucasthompsonamg,6.989748369058715E-5
209,valessiobrito,6.989748369058715E-5
210,Lucasbrunoferreira,1.8104243863742783E-4
211,vitorbrrs,1.2931034482758624E-4
212,adrianokelvio,6.989748369058715E-5
213,vaxjc,6.989748369058715E-5
214,spotmkt,0.0013063578439850717
215,Indaiahub,6.989748369058715E-5
216,Issami96,6.989748369058715E-5
217,vgdss,6.989748369058715E-5
218,Bru-noSouza,6.989748369058715E-5
219,wlustosaadv,6.989748369058715E-5
220,willoak,6.989748369058715E-5
221,carlosadmjr,6.989748369058715E-5
222,wolffeduardo,6.989748369058715E-5
223,Tecnicasoft,6.989748369058715E-5
224,joaops2305,6.989748369058715E-5
225,lucassan94,6.989748369058715E-5
226,py-danilopontes,6.989748369058715E-5
227,andreteodoroalves,6.989748369058715E-5
228,Edder097,6.989748369058715E-5
229,gabrielcald,6.989748369058715E-5
230,marinadilda,1.5204645950383215E-4
231,yuri12344,2.899375616938059E-4
232,daisito,7.421925364562573E-4
233,ldelvalleh,6.989748369058715E-5
234,sectorres,6.989748369058715E-5
235,OctavioB17,6.989748369058715E-5
236,jcbsantos2015-code,6.989748369058715E-5
237,MagaliL,6.989748369058715E-5
238,Adilmar,6.989748369058715E-5
239,danfelbm,6.989748369058715E-5
240,luisitochavarria-bit,6.989748369058715E-5
241,shsolutions,6.989748369058715E-5
242,MRegit,6.989748369058715E-5
243,WalissonPires,6.989748369058715E-5
244,fabriciomoreirao,5.631091523323266E-4
245,NascimentoRobsonSantos,6.989748369058715E-5
246,JeromeNelsonC,6.989748369058715E-5
247,MattCarneiro,2.824831585833241E-4
248,anirudhbagri,0.0017897933862647986
249,DjotaHasse,6.989748369058715E-5
250,diegobentes,6.989748369058715E-5
251,srvictorbatista,7.113525163094129E-5
252,B3rr2304,6.989748369058715E-5
253,BodeDimitri,6.989748369058715E-5
254,MuriloFernandesDev,6.989748369058715E-5
255,brjorgedavid,6.989748369058715E-5
256,LuizLobao,4.4394900705050006E-4
257,RafaelCardozo02,6.989748369058715E-5
258,hiuryr,6.989748369058715E-5
259,lfelizari,6.989748369058715E-5
260,Emanuellefelix,6.989748369058715E-5
261,mhanelia,6.989748369058715E-5
262,VilasBoas23,6.989748369058715E-5
263,luispimenta,6.989748369058715E-5
264,ig0rayres,1.887232059645853E-4
265,Miliotte,6.989748369058715E-5
266,acelmec,6.989748369058715E-5
267,JMedeiros17,6.989748369058715E-5
268,vinimerida,1.2931034482758624E-4
269,andrefrancco,6.989748369058715E-5
270,beliza0014,6.989748369058715E-5
271,agenciabrvdd,1.9862534948741846E-4
272,GustavoMimim,4.1152143522833187E-4
273,danilodoc,6.989748369058715E-5
274,jicasa03,6.989748369058715E-5
275,geopreguica-a11y,6.989748369058715E-5
276,fehhmont,6.989748369058715E-5
277,rafahoff,6.989748369058715E-5
278,Bluteco,2.4813606710158436E-4
279,yMelu,6.989748369058715E-5
280,gcomartins,6.989748369058715E-5
281,sandersonrps,6.989748369058715E-5
282,brunoadspro,2.827935694315005E-4
283,oferrariai,6.989748369058715E-5
284,uzieljr,6.989748369058715E-5
285,RamonRodSou,6.989748369058715E-5
286,Thuglife22741,6.989748369058715E-5
287,GustavoNevez,1.5901677539608574E-4
288,danielkv,6.989748369058715E-5
289,jheissonn,6.989748369058715E-5
290,FilippiAraujo,6.989748369058715E-5
291,sebastianxy,4.016192917054986E-4
292,juniorcastr,6.989748369058715E-5
293,Aurelianny,6.989748369058715E-5
294,bmoweb,6.989748369058715E-5
295,Marcusluca,6.989748369058715E-5
296,rbarcelo,6.989748369058715E-5
297,MatheusLedstar,6.989748369058715E-5
298,shorvelyn,5.452003727865796E-4
299,saviosprinty,6.989748369058715E-5
300,lostmga,6.989748369058715E-5
301,HameXAcademy,6.989748369058715E-5
302,lobx13,6.989748369058715E-5
303,Alemar10,6.989748369058715E-5
304,fcperez96,6.989748369058715E-5
305,juliocamargo10,6.989748369058715E-5
306,luiz10leite-glitch,8.501372466216217E-5
307,Riders004,6.989748369058715E-5
308,fernandosegrr,2.9764678471575027E-4
309,mjhidalgo,6.989748369058715E-5
310,Gatelli1993,6.989748369058715E-5
311,caesar621,6.989748369058715E-5
312,CristianPG-FME,1.367369524697111E-4
313,grupale,6.989748369058715E-5
314,rmogro,6.989748369058715E-5
315,amacfe-ui,4.422705322137258E-4
316,GusMartins499,6.989748369058715E-5
317,gkp1,0.001323294309113294
318,allan-outside,6.989748369058715E-5
319,segeletron,6.989748369058715E-5
320,BootecoBOot,0.002038749705726741
321,ONinguem,6.989748369058715E-5
322,kenneson,6.989748369058715E-5
323,rodrigodsluz,6.989748369058715E-5
324,lucaspmaiadev-gif,6.989748369058715E-5
325,adrianobraz,6.989748369058715E-5
326,Allvasc,6.989748369058715E-5
327,lcmouras,6.989748369058715E-5
328,MANINtecn,6.989748369058715E-5
329,victor-hdgomes,6.989748369058715E-5
330,goldfypro-debug,6.989748369058715E-5
331,viniciusguardaa-cpu,6.989748369058715E-5
332,Jotamtcoisa,6.989748369058715E-5
333,renatom3ndes,6.989748369058715E-5
334,placidodaniel,6.989748369058715E-5
335,marciobele,6.989748369058715E-5
336,pinheirorangel89-art,6.989748369058715E-5
337,masterkachu,6.989748369058715E-5
338,conectoutsourcing,6.989748369058715E-5
339,felipepiton,2.547374961168065E-4
340,romariouba,8.97017707362535E-5
341,victor-azevedo,6.989748369058715E-5
342,lucasevss,6.989748369058715E-5
343,aguga491,6.989748369058715E-5
344,julioantunes-ti,1.2931034482758624E-4
345,tiosam21,6.989748369058715E-5
346,danielmatiello,6.989748369058715E-5
347,ArildoMello,6.989748369058715E-5
348,karlosgaldino,6.989748369058715E-5
349,quatroventos,6.989748369058715E-5
350,previdprocessos-hashch,2.4813606710158436E-4
351,emretaskiran1,6.989748369058715E-5
352,mkfyasar,6.989748369058715E-5
353,Joao-Guthembergue,6.989748369058715E-5
354,Matheus-develope,0.001169067099126526
355,imaginelabpy-code,2.327877446411929E-4
356,pauloanalista,6.989748369058715E-5
357,LuisGuilhermeRampaso,6.989748369058715E-5
358,machoalfastore01-ai,6.989748369058715E-5
359,andreysuprano,6.989748369058715E-5
360,FinPartner,6.989748369058715E-5
361,souwilliamdiassilva,6.989748369058715E-5
362,thiago-audithorium,6.989748369058715E-5
363,andersonlkll,6.989748369058715E-5
364,gabrielfelipeslv,6.989748369058715E-5
365,MarcoLopezf,6.989748369058715E-5
366,gustavo-lg,6.989748369058715E-5
367,g-solis,6.989748369058715E-5
368,cleprog-co,6.989748369058715E-5
369,allefrodrigo,6.989748369058715E-5
370,Feeh03114,3.079665570289874E-4
371,marcoantoniofassa,6.989748369058715E-5
372,flashanalytics-felipeaguiar,5.602842226971894E-4
373,PhyBruno,1.7610038349917377E-4
374,thiagoaaragao,6.989748369058715E-5
375,Fhelyp,6.989748369058715E-5
376,DeNiNhOoO,6.989748369058715E-5
377,thiagobrst,6.989748369058715E-5
378,vitorgomespro,6.989748369058715E-5
379,lucasgsalmeida,6.989748369058715E-5
380,gustavosouzalima,6.989748369058715E-5
381,lucasmassarosimoes,6.989748369058715E-5
382,lucaskreich,6.989748369058715E-5
383,renatogava,6.989748369058715E-5
384,alexsandroluz,6.989748369058715E-5
385,BeOnTech01,6.989748369058715E-5
386,medinavs,6.989748369058715E-5
387,brunomond,6.989748369058715E-5
388,rdmalves87,9.983454888544669E-5
389,nachotdl,2.6537817451071765E-4
390,antoniogsouzaag,6.989748369058715E-5
391,imapproved,6.989748369058715E-5
392,vitorhfcastro,6.989748369058715E-5
393,maikelagm,6.989748369058715E-5
394,massimorm,9.960391425908668E-5
395,arthurbrenno,6.989748369058715E-5
396,B3t4C0d3,9.983454888544669E-5
397,pbm94,6.989748369058715E-5
398,celestinofjanuario-ctrl,9.960391425908668E-5
399,kunumigab,6.989748369058715E-5
400,hereck,7.900536619230108E-4
401,sutidor,6.989748369058715E-5
402,Victorcassiano,9.960391425908668E-5
403,abdelrhmanfawzym,2.485500091668831E-4
404,Cranbaerry,7.038447435564452E-5
405,GTMoraes,6.989748369058715E-5
406,lucasguzo,6.989748369058715E-5
407,zurielamorim,6.989748369058715E-5
408,r0usis,6.989748369058715E-5
409,mikekiroz,1.9450358224603917E-4
410,fluintech,6.989748369058715E-5
411,jonathanpog98,6.989748369058715E-5
412,RelaxSolucoes,7.668846109040073E-4
413,estebanlis,6.989748369058715E-5
414,mahdihaghnegar,6.989748369058715E-5
415,willph,6.989748369058715E-5
416,isaqueipromotora,6.989748369058715E-5
417,Brandevtech,6.989748369058715E-5
418,flavioxx,6.989748369058715E-5
419,menezesvitoria1502-art,6.989748369058715E-5
420,mpacheco92,7.732409133271203E-5
421,Jadsonps-dev,6.989748369058715E-5
422,carvalho7976,6.989748369058715E-5
423,redequeroimoveis,6.989748369058715E-5
424,jasplink-spec,6.989748369058715E-5
425,ewanly,6.989748369058715E-5
426,sidneyfmeco,1.2931034482758624E-4
427,FCanedo90,6.989748369058715E-5
428,guia-livre,3.32799394221808E-4
429,viniciusferreira-sys,6.989748369058715E-5
430,hernandesbylara,6.989748369058715E-5
431,miguelbispo,6.989748369058715E-5
432,Vinn4k,6.989748369058715E-5
433,tvieirabruna,6.989748369058715E-5
434,DanielSilvaol,0.0010695954036934322
435,forwardbridgefw-stack,6.989748369058715E-5
436,metrifiquese-spec,6.989748369058715E-5
437,luizcw,6.989748369058715E-5
438,BryanLucas7,6.989748369058715E-5
439,cadukiz,6.989748369058715E-5
440,ejferrazzongit,6.989748369058715E-5
441,JefersonRamos,8.523768963989429E-5
442,dlc-letelier,6.989748369058715E-5
443,leonardolessa,6.989748369058715E-5
444,Pedreiros22,2.844439266853061E-4
445,hugoinsider,6.989748369058715E-5
446,santosgalahack,6.989748369058715E-5
447,davidreis90-spec,6.989748369058715E-5
448,adolfosp,1.2931034482758624E-4
449,JuniorBods,6.989748369058715E-5
450,RaFaeL-Cunha,7.038447435564452E-5
451,abioluz,5.156993357962383E-4
452,AlejoTorres2001,3.6696178937558254E-4
453,renansko-vilela,1.8893386372233987E-4
454,fredericoalvesmoreira2025,6.989748369058715E-5
455,JeandersonR2,2.137694093370197E-4
456,michaelvips,1.8942085438739724E-4
457,tobiasbenkner,6.989748369058715E-5
458,netoduwe,6.989748369058715E-5
459,pedrosantosredefacil,6.989748369058715E-5
460,Droid0123,6.989748369058715E-5
461,sluy,6.711741498290402E-4
462,cleytoncoro,3.1005713391179005E-4
463,joaovcoliveira,2.448462422463447E-4
464,KokeroO,8.523768963989429E-5
465,RamonSouza96,6.989748369058715E-5
466,daniel-eder,6.989748369058715E-5
467,juniortopanotti,7.038447435564452E-5
468,pedroarthuralvesdeoliveira,6.989748369058715E-5
469,brunosantanarj,6.989748369058715E-5
470,robsonrosa,6.989748369058715E-5
471,DoShaston,6.989748369058715E-5
472,jjmmbb,8.97017707362535E-5
473,Vixti,7.732409133271203E-5
474,gptesv,2.4813606710158436E-4
475,lcssurf,6.989748369058715E-5
476,flavianoredressa,6.989748369058715E-5
477,gu1Vaz,1.367369524697111E-4
478,brunoblbla,6.989748369058715E-5
479,Regis-BR,6.989748369058715E-5
480,joaocps,6.989748369058715E-5
481,gbpufscar,6.989748369058715E-5
482,DaniloGouvea,6.989748369058715E-5
483,zaryabmustafa,6.989748369058715E-5
484,luisadidomenico,6.989748369058715E-5
485,maikramer,6.989748369058715E-5
486,phroriz,3.745637474759242E-4
487,beeowned,6.989748369058715E-5
488,dhyegocalota,6.989748369058715E-5
489,danielvieirabrwo,7.113525163094129E-5
490,ppimentelrj,6.989748369058715E-5
491,RenanRodriguesTI,6.989748369058715E-5
492,asanches-dot,6.989748369058715E-5
493,edubortolotti,6.989748369058715E-5
494,jholhewres,7.732409133271203E-5
495,carola-m,2.778424976700839E-4
496,FelipeVeiga,6.989748369058715E-5
497,bgoncalves98,6.989748369058715E-5
498,mariano-aferrari,6.989748369058715E-5
499,andifilhohub,9.925404639588398E-4
500,thiagotoffanetto,6.989748369058715E-5
501,ftruppel,6.989748369058715E-5
502,matewz,6.989748369058715E-5
503,jdinix,6.989748369058715E-5
504,JMultimidia,6.989748369058715E-5
505,rodolphoAle,6.989748369058715E-5
506,erigobeli,6.989748369058715E-5
507,michumichifu,6.989748369058715E-5
508,CuriousGu,6.989748369058715E-5
509,abdulsamadola,6.989748369058715E-5
510,rhuan-angio,6.989748369058715E-5
511,AntonioWeb-dev,3.637533570459698E-4
512,Lmagalhaesz,6.989748369058715E-5
513,guilhermegobbo,6.989748369058715E-5
514,masimpacto,6.989748369058715E-5
515,wagnerraugustp,6.989748369058715E-5
516,codemaoz90,6.989748369058715E-5
517,JhonTechBr,6.989748369058715E-5
518,utadluis,6.989748369058715E-5
519,rarisenpai,6.989748369058715E-5
520,hasiburbondstein-dotcom,1.2931034482758624E-4
521,CosminIordache,6.989748369058715E-5
522,moabmoraes,6.989748369058715E-5
523,avaleadoficial,7.581210639430893E-4
524,fabriciofeijo,1.4011995210477294E-4
525,nachokhan,6.989748369058715E-5
526,andreylima,6.989748369058715E-5
527,WesleyjanLacerda,4.263746505125815E-4
528,Edupazzi,6.989748369058715E-5
529,Julio-Braz,6.989748369058715E-5
530,truutruu667-cloud,6.989748369058715E-5
531,dani-pinheiro01,6.989748369058715E-5
532,viictorcamposs,6.989748369058715E-5
533,WevertonRufoTavares,6.989748369058715E-5
534,leoslg,1.8913714802988406E-4
535,davidmnzs,7.038447435564452E-5
536,gabrielroger2020,6.989748369058715E-5
537,Danilim04,6.989748369058715E-5
538,mv8digital,6.989748369058715E-5
539,MUKINH4,6.989748369058715E-5
